================ Training Loss (Wed May 20 15:26:32 2020) ================
(epoch: 15, iters: 160, time: 0.006, data: 0.150) loss: 2.166 
(epoch: 15, iters: 240, time: 0.006, data: 0.134) loss: 2.373 
(epoch: 15, iters: 320, time: 0.006, data: 0.407) loss: 2.625 
(epoch: 15, iters: 400, time: 0.007, data: 0.071) loss: 2.346 
(epoch: 15, iters: 480, time: 0.006, data: 0.211) loss: 2.337 
(epoch: 16, iters: 80, time: 0.006, data: 1.375) loss: 2.232 
(epoch: 16, iters: 160, time: 0.008, data: 0.150) loss: 1.755 
(epoch: 16, iters: 240, time: 0.006, data: 0.370) loss: 2.081 
(epoch: 16, iters: 320, time: 0.006, data: 0.382) loss: 2.224 
(epoch: 16, iters: 400, time: 0.006, data: 0.001) loss: 2.193 
(epoch: 16, iters: 480, time: 0.006, data: 0.001) loss: 2.260 
(epoch: 17, iters: 80, time: 0.006, data: 1.572) loss: 2.093 
(epoch: 17, iters: 160, time: 0.006, data: 0.001) loss: 2.130 
(epoch: 17, iters: 240, time: 0.006, data: 0.001) loss: 2.276 
(epoch: 17, iters: 320, time: 0.006, data: 0.510) loss: 2.101 
(epoch: 17, iters: 400, time: 0.007, data: 0.001) loss: 2.000 
(epoch: 17, iters: 480, time: 0.006, data: 0.001) loss: 2.136 
(epoch: 18, iters: 80, time: 0.006, data: 1.533) loss: 2.370 
(epoch: 18, iters: 160, time: 0.006, data: 0.001) loss: 2.116 
(epoch: 18, iters: 240, time: 0.007, data: 0.001) loss: 2.313 
(epoch: 18, iters: 320, time: 0.006, data: 0.629) loss: 2.289 
(epoch: 18, iters: 400, time: 0.006, data: 0.001) loss: 2.021 
(epoch: 18, iters: 480, time: 0.006, data: 0.001) loss: 2.362 
(epoch: 19, iters: 80, time: 0.006, data: 1.216) loss: 2.136 
(epoch: 19, iters: 160, time: 0.007, data: 0.001) loss: 2.016 
(epoch: 19, iters: 240, time: 0.006, data: 0.001) loss: 1.848 
(epoch: 19, iters: 320, time: 0.006, data: 0.499) loss: 2.049 
(epoch: 19, iters: 400, time: 0.006, data: 0.142) loss: 2.236 
(epoch: 19, iters: 480, time: 0.006, data: 0.307) loss: 2.275 
(epoch: 20, iters: 80, time: 0.006, data: 1.201) loss: 1.777 
(epoch: 20, iters: 160, time: 0.006, data: 0.001) loss: 1.811 
